entry_time,exit_time,entry_index,exit_index,reason,gross,net,equity,cum_max,drawdown
2025-12-08 12:04:00,2025-12-08 12:09:00,26051.19921875,26048.400390625,TIME,314.8681640625,229.8681640625,9794.287109375,9794.287109375,0.0
2025-12-08 12:09:00,2025-12-08 12:14:00,26048.400390625,26035.400390625,TIME_PROFIT,1462.5,1377.5,11171.787109375,11171.787109375,0.0
2025-12-08 12:15:00,2025-12-08 12:16:00,26035.349609375,26044.349609375,SL,-1012.5,-1097.5,10074.287109375,11171.787109375,1097.5
2025-12-08 12:24:00,2025-12-08 12:28:00,26047.5,26029.5,TP,2025.0,1940.0,12014.287109375,12014.287109375,0.0
2025-12-08 12:28:00,2025-12-08 12:33:00,26028.5,26015.5,TIME_PROFIT,1462.5,1377.5,13391.787109375,13391.787109375,0.0
2025-12-09 10:52:00,2025-12-09 10:56:00,25792.55078125,25801.55078125,SL,-1012.5,-1097.5,12294.287109375,13391.787109375,1097.5
2025-12-09 10:56:00,2025-12-09 10:59:00,25804.94921875,25813.94921875,SL,-1012.5,-1097.5,11196.787109375,13391.787109375,2195.0
2025-12-10 10:47:00,2025-12-10 10:50:00,25902.69921875,25884.69921875,TP,2025.0,1940.0,13136.787109375,13391.787109375,255.0
2025-12-10 11:10:00,2025-12-10 11:15:00,25871.80078125,25880.80078125,SL,-1012.5,-1097.5,12039.287109375,13391.787109375,1352.5
2025-12-10 11:15:00,2025-12-10 11:20:00,25877.0,25864.0,TIME_PROFIT,1462.5,1377.5,13416.787109375,13416.787109375,0.0
2025-12-10 11:20:00,2025-12-10 11:21:00,25866.349609375,25875.349609375,SL,-1012.5,-1097.5,12319.287109375,13416.787109375,1097.5
2025-12-10 11:24:00,2025-12-10 11:29:00,25860.099609375,25852.25,TIME,883.0810546875,798.0810546875,13117.3681640625,13416.787109375,299.4189453125
2025-12-10 11:31:00,2025-12-10 11:33:00,25845.5,25854.5,SL,-1012.5,-1097.5,12019.8681640625,13416.787109375,1396.9189453125
2025-12-10 11:49:00,2025-12-10 11:54:00,25836.30078125,25823.30078125,TIME_PROFIT,1462.5,1377.5,13397.3681640625,13416.787109375,19.4189453125
2025-12-10 11:54:00,2025-12-10 11:55:00,25828.099609375,25837.099609375,SL,-1012.5,-1097.5,12299.8681640625,13416.787109375,1116.9189453125
2025-12-10 11:56:00,2025-12-10 12:01:00,25837.75,25824.75,TIME_PROFIT,1462.5,1377.5,13677.3681640625,13677.3681640625,0.0
2025-12-10 12:20:00,2025-12-10 12:25:00,25838.599609375,25825.599609375,TIME_PROFIT,1462.5,1377.5,15054.8681640625,15054.8681640625,0.0
2025-12-10 12:25:00,2025-12-10 12:30:00,25822.94921875,25809.94921875,TIME_PROFIT,1462.5,1377.5,16432.3681640625,16432.3681640625,0.0
2025-12-11 10:46:00,2025-12-11 10:47:00,25827.94921875,25836.94921875,SL,-1012.5,-1097.5,15334.8681640625,16432.3681640625,1097.5
2025-12-12 10:46:00,2025-12-12 10:50:00,25968.599609375,25950.599609375,TP,2025.0,1940.0,17274.8681640625,17274.8681640625,0.0
2025-12-15 10:38:00,2025-12-15 10:43:00,25961.349609375,25948.349609375,TIME_PROFIT,1462.5,1377.5,18652.3681640625,18652.3681640625,0.0
2025-12-15 10:43:00,2025-12-15 10:48:00,25966.80078125,25975.80078125,SL,-1012.5,-1097.5,17554.8681640625,18652.3681640625,1097.5
2025-12-15 10:59:00,2025-12-15 11:04:00,25987.25,25987.849609375,TIME,-67.4560546875,-152.4560546875,17402.412109375,18652.3681640625,1249.9560546875
2025-12-15 11:04:00,2025-12-15 11:09:00,25987.849609375,25974.849609375,TIME_PROFIT,1462.5,1377.5,18779.912109375,18779.912109375,0.0
2025-12-15 11:09:00,2025-12-15 11:14:00,25977.349609375,25980.94921875,TIME,-404.9560546875,-489.9560546875,18289.9560546875,18779.912109375,489.9560546875
2025-12-15 11:14:00,2025-12-15 11:19:00,25980.94921875,25976.400390625,TIME,511.7431640625,426.7431640625,18716.69921875,18779.912109375,63.212890625
2025-12-15 11:37:00,2025-12-15 11:42:00,25967.25,25967.44921875,TIME,-22.412109375,-107.412109375,18609.287109375,18779.912109375,170.625
2025-12-15 11:44:00,2025-12-15 11:48:00,25971.0,25980.0,SL,-1012.5,-1097.5,17511.787109375,18779.912109375,1268.125
2025-12-16 10:33:00,2025-12-16 10:38:00,25913.44921875,25900.44921875,TIME_PROFIT,1462.5,1377.5,18889.287109375,18889.287109375,0.0
2025-12-16 10:40:00,2025-12-16 10:45:00,25905.30078125,25900.80078125,TIME,506.25,421.25,19310.537109375,19310.537109375,0.0
2025-12-16 10:45:00,2025-12-16 10:50:00,25900.80078125,25898.69921875,TIME,236.42578125,151.42578125,19461.962890625,19461.962890625,0.0
2025-12-16 10:51:00,2025-12-16 10:56:00,25902.55078125,25891.599609375,TIME,1232.0068359375,1147.0068359375,20608.9697265625,20608.9697265625,0.0
2025-12-16 10:58:00,2025-12-16 11:03:00,25900.599609375,25898.44921875,TIME,241.9189453125,156.9189453125,20765.888671875,20765.888671875,0.0
2025-12-16 11:03:00,2025-12-16 11:07:00,25898.44921875,25907.44921875,SL,-1012.5,-1097.5,19668.388671875,20765.888671875,1097.5
2025-12-16 11:07:00,2025-12-16 11:12:00,25909.599609375,25897.94921875,TIME,1310.6689453125,1225.6689453125,20894.0576171875,20894.0576171875,0.0
2025-12-16 11:12:00,2025-12-16 11:17:00,25897.94921875,25896.0,TIME,219.287109375,134.287109375,21028.3447265625,21028.3447265625,0.0
2025-12-16 11:17:00,2025-12-16 11:20:00,25896.0,25905.0,SL,-1012.5,-1097.5,19930.8447265625,21028.3447265625,1097.5
2025-12-16 11:20:00,2025-12-16 11:23:00,25902.099609375,25911.099609375,SL,-1012.5,-1097.5,18833.3447265625,21028.3447265625,2195.0
2025-12-16 11:24:00,2025-12-16 11:29:00,25898.400390625,25905.44921875,TIME,-792.9931640625,-877.9931640625,17955.3515625,21028.3447265625,3072.9931640625
2025-12-16 11:29:00,2025-12-16 11:34:00,25905.44921875,25892.44921875,TIME_PROFIT,1462.5,1377.5,19332.8515625,21028.3447265625,1695.4931640625
2025-12-16 11:34:00,2025-12-16 11:39:00,25890.30078125,25885.349609375,TIME,557.0068359375,472.0068359375,19804.8583984375,21028.3447265625,1223.486328125
2025-12-16 11:39:00,2025-12-16 11:44:00,25885.349609375,25875.099609375,TIME,1153.125,1068.125,20872.9833984375,21028.3447265625,155.361328125
2025-12-16 11:44:00,2025-12-16 11:49:00,25875.099609375,25878.25,TIME,-354.4189453125,-439.4189453125,20433.564453125,21028.3447265625,594.7802734375
2025-12-16 11:49:00,2025-12-16 11:54:00,25878.25,25887.25,SL,-1012.5,-1097.5,19336.064453125,21028.3447265625,1692.2802734375
2025-12-16 12:01:00,2025-12-16 12:06:00,25875.05078125,25884.05078125,SL,-1012.5,-1097.5,18238.564453125,21028.3447265625,2789.7802734375
2025-12-16 12:06:00,2025-12-16 12:11:00,25883.650390625,25884.849609375,TIME,-134.912109375,-219.912109375,18018.65234375,21028.3447265625,3009.6923828125
2025-12-16 12:11:00,2025-12-16 12:16:00,25884.849609375,25887.5,TIME,-298.1689453125,-383.1689453125,17635.4833984375,21028.3447265625,3392.861328125
2025-12-17 10:44:00,2025-12-17 10:47:00,25819.05078125,25828.05078125,SL,-1012.5,-1097.5,16537.9833984375,21028.3447265625,4490.361328125
2025-12-17 10:47:00,2025-12-17 10:52:00,25828.150390625,25819.80078125,TIME,939.3310546875,854.3310546875,17392.314453125,21028.3447265625,3636.0302734375
2025-12-17 10:53:00,2025-12-17 10:57:00,25823.30078125,25805.30078125,TP,2025.0,1940.0,19332.314453125,21028.3447265625,1696.0302734375
2025-12-17 11:05:00,2025-12-17 11:07:00,25824.55078125,25833.55078125,SL,-1012.5,-1097.5,18234.814453125,21028.3447265625,2793.5302734375
2025-12-17 11:25:00,2025-12-17 11:30:00,25825.150390625,25807.150390625,TP,2025.0,1940.0,20174.814453125,21028.3447265625,853.5302734375
2025-12-17 11:30:00,2025-12-17 11:31:00,25809.75,25818.75,SL,-1012.5,-1097.5,19077.314453125,21028.3447265625,1951.0302734375
2025-12-17 11:41:00,2025-12-17 11:46:00,25830.55078125,25834.150390625,TIME,-404.9560546875,-489.9560546875,18587.3583984375,21028.3447265625,2440.986328125
2025-12-17 12:01:00,2025-12-17 12:06:00,25805.400390625,25802.599609375,TIME,315.087890625,230.087890625,18817.4462890625,21028.3447265625,2210.8984375
2025-12-17 12:20:00,2025-12-17 12:25:00,25806.099609375,25798.05078125,TIME,905.4931640625,820.4931640625,19637.939453125,21028.3447265625,1390.4052734375
2025-12-17 12:32:00,2025-12-17 12:37:00,25790.099609375,25787.75,TIME,264.3310546875,179.3310546875,19817.2705078125,21028.3447265625,1211.07421875
2025-12-26 10:27:00,2025-12-26 10:30:00,26085.55078125,26094.55078125,SL,-1012.5,-1097.5,18719.7705078125,21028.3447265625,2308.57421875
2025-12-26 10:30:00,2025-12-26 10:35:00,26091.599609375,26090.650390625,TIME,106.787109375,21.787109375,18741.5576171875,21028.3447265625,2286.787109375
2025-12-26 10:35:00,2025-12-26 10:40:00,26090.650390625,26093.099609375,TIME,-275.537109375,-360.537109375,18381.0205078125,21028.3447265625,2647.32421875
2025-12-26 10:40:00,2025-12-26 10:45:00,26093.099609375,26088.349609375,TIME,534.375,449.375,18830.3955078125,21028.3447265625,2197.94921875
2025-12-26 10:45:00,2025-12-26 10:50:00,26088.349609375,26089.19921875,TIME,-95.5810546875,-180.5810546875,18649.814453125,21028.3447265625,2378.5302734375
2025-12-26 10:50:00,2025-12-26 10:55:00,26089.19921875,26089.94921875,TIME,-84.375,-169.375,18480.439453125,21028.3447265625,2547.9052734375
2025-12-26 10:55:00,2025-12-26 11:00:00,26089.94921875,26090.05078125,TIME,-11.42578125,-96.42578125,18384.013671875,21028.3447265625,2644.3310546875
2025-12-26 11:00:00,2025-12-26 11:05:00,26090.05078125,26084.69921875,TIME,602.05078125,517.05078125,18901.064453125,21028.3447265625,2127.2802734375
